,Season,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,PIE,NET_RATING,DEF_RATING,OFF_RATING
,2003,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,,,,,
2588.0,2003,45,CHI,Matt Bonner,Florida,12.0,792.0,13356.0,4632.0,2371.0,552.0,0.464,0.414,0.78,16.9,5.8,3.0,0.7,38.5,0.138,1.0,10.1,0.0851111111111111,4.990404040404041,102.1760101010101,107.16060606060606
,2003,46,DEN,Sani Bečirovič,,,,,,,,,,,,,,,,,,,,,,
2590.0,2003,47,UTA,Mo Williams,Alabama,13.0,818.0,23872.0,10759.0,2264.0,3990.0,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40.0,0.08,-0.3,10.0,0.09899266503667481,-1.1025672371638142,105.59339853300733,104.48679706601469
2591.0,2003,48,NOH,James Lang,,1.0,11.0,55.0,11.0,11.0,2.0,0.444,,0.6,5.0,1.0,1.0,0.2,0.1,0.047,-6.4,-0.1,0.0,3.1,107.4,110.5
2592.0,2003,49,IND,James Jones,Miami (FL),14.0,709.0,11098.0,3717.0,1276.0,366.0,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2,0.109,-0.1,5.4,0.06795486600846264,0.5837799717912551,102.55049365303245,103.12708039492243
,2003,50,PHI,Paccelis Morlende,,,,,,,,,,,,,,,,,,,,,,
2594.0,2003,51,NJN,Kyle Korver,Creighton,17.0,1232.0,31183.0,11953.0,3643.0,2114.0,0.442,0.429,0.877,25.3,9.7,3.0,1.7,73.4,0.113,0.6,20.7,0.08464529220779221,4.050081168831169,102.04918831168831,106.08823051948053
,2003,52,TOR,Remon van de Hare,,,,,,,,,,,,,,,,,,,,,,
,2003,53,CHI,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,,,,,,
,2003,54,POR,Nedžad Sinanović,,,,,,,,,,,,,,,,,,,,,,
,2003,55,MIN,Rick Rickert,Minnesota,,,,,,,,,,,,,,,,,,,,,
2599.0,2003,56,BOS,Brandon Hunter,Ohio University,2.0,67.0,630.0,220.0,187.0,22.0,0.476,,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3,0.07798507462686567,-1.5656716417910448,99.77761194029851,98.21194029850747
,2003,57,DAL,Xue Yuyang,,,,,,,,,,,,,,,,,,,,,,
2601.0,2003,58,DET,Andreas Glyniadakis,,1.0,13.0,81.0,17.0,8.0,1.0,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143,-14.0,-0.2,-0.05,-15.0,106.79999999999998,91.79999999999998
2730.0,2004,1,ORL,Dwight Howard,,18.0,1242.0,39457.0,19485.0,14627.0,1676.0,0.587,0.214,0.567,31.8,15.7,11.8,1.3,141.7,0.172,1.9,39.0,0.14436151368760067,3.286231884057971,104.50466988727858,107.78123993558775
2731.0,2004,2,CHA,Emeka Okafor,UConn,10.0,616.0,19055.0,7370.0,5967.0,520.0,0.512,,0.586,30.9,12.0,9.7,0.8,45.3,0.114,-0.6,6.8,0.11479058441558442,-2.050811688311688,104.45357142857144,102.38116883116884
2732.0,2004,3,CHI,Ben Gordon,UConn,11.0,744.0,20366.0,11084.0,1851.0,1868.0,0.432,0.401,0.857,27.4,14.9,2.5,2.5,33.3,0.078,-0.3,8.7,0.09501075268817205,-2.7263440860215056,105.46841397849462,102.74422043010755
2733.0,2004,4,LAC,Shaun Livingston,,14.0,833.0,17188.0,5231.0,1989.0,2483.0,0.486,0.178,0.794,20.6,6.3,2.4,3.0,29.9,0.084,-1.0,4.3,0.08812845138055223,0.6176470588235294,103.26506602641057,103.89267707082834
2734.0,2004,5,WAS,Devin Harris,Wisconsin,15.0,985.0,23963.0,10597.0,2151.0,3869.0,0.432,0.325,0.796,24.3,10.8,2.2,3.9,54.9,0.11,0.6,15.5,0.09876040609137056,1.690964467005076,104.42913705583756,106.14121827411168
2735.0,2004,6,ATL,Josh Childress,Stanford,8.0,391.0,10432.0,3548.0,1850.0,609.0,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,0.8,7.4,0.09986445012787723,-5.245524296675192,108.42813299232735,103.13554987212277
2736.0,2004,7,PHO,Luol Deng,Duke,15.0,902.0,30941.0,13361.0,5468.0,2042.0,0.456,0.332,0.769,34.3,14.8,6.1,2.3,74.0,0.115,0.9,22.9,0.11084257206208425,2.0635254988913525,102.5,104.56773835920178
2737.0,2004,8,TOR,Rafael Araújo,BYU,3.0,139.0,1585.0,389.0,395.0,41.0,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1,0.03075539568345324,-2.0187050359712226,103.23021582733813,101.17410071942446
2738.0,2004,9,PHI,Andre Iguodala,Arizona,19.0,1231.0,39507.0,13968.0,6047.0,5147.0,0.463,0.33,0.709,32.1,11.3,4.9,4.2,100.4,0.122,2.1,41.3,0.10717221770917953,4.447522339561333,102.64240454914703,107.08578391551585
2739.0,2004,10,CLE,Luke Jackson,Oregon,4.0,73.0,724.0,252.0,89.0,58.0,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3,0.05854794520547945,-7.530136986301369,104.21917808219177,96.70136986301368
2740.0,2004,11,GSW,Andris Biedriņš,,10.0,516.0,11146.0,3247.0,3631.0,467.0,0.594,,0.5,21.6,6.3,7.0,0.9,30.7,0.132,-0.4,4.6,0.08620348837209302,-1.4189922480620156,105.93003875968992,104.51065891472867
2741.0,2004,12,SEA,Robert Swift,,4.0,97.0,1500.0,416.0,376.0,20.0,0.506,,0.61,15.5,4.3,3.9,0.2,1.7,0.054,-3.8,-0.7,0.0494639175257732,-9.496907216494845,110.16907216494845,100.72886597938145
2742.0,2004,13,POR,Sebastian Telfair,,10.0,564.0,12149.0,4183.0,898.0,1960.0,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5.0,0.02,-3.4,-4.2,0.0718209219858156,-5.741843971631205,105.98794326241135,100.25212765957447
2743.0,2004,14,UTA,Kris Humphries,Minnesota,13.0,800.0,14232.0,5350.0,4314.0,556.0,0.463,0.293,0.7,17.8,6.7,5.4,0.7,30.3,0.102,-1.7,1.2,0.10074625000000001,-4.72525,104.478625,99.757
2744.0,2004,15,BOS,Al Jefferson,,14.0,915.0,26299.0,14343.0,7690.0,1347.0,0.499,0.121,0.711,28.7,15.7,8.4,1.5,71.0,0.13,1.2,21.3,0.13807868852459015,-3.367431693989071,106.6592349726776,103.28513661202186
2745.0,2004,16,UTA,Kirk Snyder,Nevada,4.0,211.0,3540.0,1333.0,491.0,241.0,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061,-1.2,0.7,0.07109478672985782,-3.476303317535545,105.04739336492891,101.57109004739337
2746.0,2004,17,ATL,Josh Smith,,13.0,894.0,29000.0,12996.0,6653.0,2789.0,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51.0,0.084,1.7,27.2,0.11189821029082775,-0.51331096196868,104.65525727069351,104.12651006711408
2747.0,2004,18,NOH,J.R. Smith,,16.0,977.0,26275.0,12148.0,3073.0,2077.0,0.419,0.373,0.733,26.9,12.4,3.1,2.1,46.3,0.084,0.2,14.7,0.08800204708290686,2.105731832139202,106.0401228249744,108.14872057318321
2748.0,2004,19,MIA,Dorell Wright,,11.0,549.0,12280.0,4597.0,2093.0,850.0,0.424,0.365,0.806,22.4,8.4,3.8,1.5,25.9,0.101,0.9,9.1,0.10089253187613843,-2.9575591985428047,104.64754098360656,101.67795992714025
2749.0,2004,20,DEN,Jameer Nelson,Saint Joseph's,14.0,878.0,24539.0,9940.0,2595.0,4508.0,0.436,0.368,0.81,27.9,11.3,3.0,5.1,48.3,0.094,-0.1,11.6,0.09903644646924828,1.296469248291572,105.16697038724372,106.47050113895217
2750.0,2004,21,UTA,Pavel Podkolzin,,2.0,6.0,28.0,4.0,9.0,,,,0.5,4.7,0.7,1.5,,-0.1,-0.163,-15.0,-0.1,-0.20433333333333334,-21.016666666666666,84.18333333333334,63.166666666666664
2751.0,2004,22,NJN,Viktor Khryapa,,4.0,143.0,2351.0,643.0,492.0,142.0,0.443,0.292,0.658,16.4,4.5,3.4,1.0,2.0,0.041,-3.5,-0.9,0.056566433566433566,-8.248251748251748,106.37692307692308,98.15174825174826
2752.0,2004,23,POR,Sergei Monia,,1.0,26.0,343.0,77.0,52.0,19.0,0.333,0.265,0.714,13.2,3.0,2.0,0.7,-0.2,-0.025,-5.3,-0.3,0.036,-23.800000000000004,115.20000000000002,91.5
2753.0,2004,24,BOS,Delonte West,Saint Joseph's,8.0,432.0,11842.0,4198.0,1265.0,1540.0,0.448,0.372,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.9,8.7,0.09947916666666667,1.5532407407407414,101.86111111111111,103.42847222222223
2754.0,2004,25,BOS,Tony Allen,Oklahoma State,14.0,820.0,18055.0,6654.0,2884.0,1077.0,0.475,0.282,0.709,22.0,8.1,3.5,1.3,38.7,0.103,0.3,10.4,0.0868170731707317,3.571951219512195,99.44987804878048,103.01524390243902
2755.0,2004,26,SAC,Kevin Martin,Western Carolina University,12.0,714.0,21559.0,12396.0,2278.0,1352.0,0.437,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.137,1.0,16.1,0.10482913165266106,-0.1389355742296921,107.0343137254902,106.88417366946778
2756.0,2004,27,LAL,Sasha Vujačić,,10.0,581.0,8908.0,3094.0,1093.0,748.0,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16.0,0.086,-1.0,2.3,0.0732289156626506,-0.5449225473321859,104.39655765920827,103.83184165232358
2757.0,2004,28,SAS,Beno Udrih,,13.0,832.0,18185.0,6952.0,1712.0,2858.0,0.463,0.349,0.833,21.9,8.4,2.1,3.4,31.4,0.083,-0.9,4.9,0.0990985576923077,-0.886298076923077,103.48305288461538,102.5888221153846
2758.0,2004,29,IND,David Harrison,Colorado,4.0,189.0,2686.0,949.0,549.0,47.0,0.53,,0.525,14.2,5.0,2.9,0.2,3.2,0.057,-4.4,-1.7,0.04197883597883598,-1.0253968253968253,98.69047619047619,97.70052910052911
2760.0,2004,30,ORL,Anderson Varejão,,14.0,632.0,15087.0,4574.0,4531.0,737.0,0.509,0.023,0.63,23.9,7.2,7.2,1.2,46.4,0.148,0.3,8.8,0.1045268987341772,4.188924050632911,101.39683544303799,105.6025316455696
2761.0,2004,31,CHI,Jackson Vroman,Iowa State,2.0,87.0,1111.0,285.0,261.0,51.0,0.408,,0.58,12.8,3.3,3.0,0.6,,0.001,-5.1,-0.9,0.03332183908045977,-0.818390804597701,99.82988505747126,99.06436781609196
2762.0,2004,32,WAS,Peter John Ramos,,1.0,6.0,20.0,11.0,4.0,,0.5,,0.5,3.3,1.8,0.7,,,-0.108,-10.0,,0.04700000000000001,-3.4,76.1,72.7
2763.0,2004,33,LAC,Lionel Chalmers,Xavier,1.0,36.0,433.0,111.0,31.0,51.0,0.336,0.245,0.625,12.0,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4,0.049,-4.7,101.0,96.3
2764.0,2004,34,ATL,Donta Smith,Southeastern Illinois College,2.0,61.0,560.0,165.0,66.0,48.0,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2,0.058016393442622945,-1.7983606557377048,101.39180327868853,99.65573770491804
2765.0,2004,35,SEA,Andre Emmett,Texas Tech,2.0,14.0,73.0,20.0,8.0,1.0,0.462,,0.615,5.2,1.4,0.6,0.1,0.1,0.04,-5.5,-0.1,0.01428571428571429,-9.328571428571431,88.72857142857143,79.35714285714286
2766.0,2004,36,ORL,Antonio Burks,Memphis,2.0,81.0,789.0,186.0,49.0,104.0,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.1,0.004,-5.0,-0.6,0.054814814814814816,-3.977777777777778,96.63333333333333,92.62592592592593
2767.0,2004,37,ATL,Royal Ivey,Texas,10.0,492.0,6162.0,1641.0,557.0,501.0,0.406,0.361,0.706,12.5,3.3,1.1,1.0,4.5,0.035,-3.8,-2.7,0.04336788617886179,-5.835162601626016,104.40060975609754,98.57621951219512
2768.0,2004,38,CHI,Chris Duhon,Duke,9.0,606.0,15526.0,3946.0,1364.0,2690.0,0.393,0.363,0.784,25.6,6.5,2.3,4.4,25.0,0.077,-1.2,3.2,0.08131848184818481,-0.1414191419141913,102.20643564356435,102.07854785478547
,2004,39,TOR,Albert Miralles,,,,,,,,,,,,,,,,,,,,,,
2770.0,2004,40,BOS,Justin Reed,Ole Miss,3.0,136.0,1436.0,472.0,186.0,68.0,0.404,,0.752,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4,0.03755882352941176,-5.055147058823529,101.95294117647059,96.91102941176472
,2004,41,SEA,David Young,NC Central,,,,,,,,,,,,,,,,,,,,,
,2004,42,ATL,Viktor Sanikidze,,,,,,,,,,,,,,,,,,,,,,
2772.0,2004,43,NYK,Trevor Ariza,UCLA,18.0,1118.0,32953.0,11593.0,5356.0,2379.0,0.422,0.351,0.731,29.5,10.4,4.8,2.1,64.3,0.094,0.6,21.8,0.09165652951699464,1.3768336314847947,104.88327370304114,106.26726296958857
,2004,44,NOH,Tim Pickett,Florida State,,,,,,,,,,,,,,,,,,,,,
2774.0,2004,45,CHA,Bernard Robinson,Michigan,3.0,128.0,1909.0,576.0,315.0,126.0,0.417,0.161,0.786,14.9,4.5,2.5,1.0,2.0,0.049,-2.0,,0.071734375,-7.375,101.425,94.02578125000001
2775.0,2004,46,POR,Ha Seung-Jin,,2.0,46.0,316.0,70.0,67.0,3.0,0.519,,0.5,6.9,1.5,1.5,0.1,-0.2,-0.029,-8.8,-0.5,0.009478260869565215,-8.154347826086957,105.20217391304348,97.10652173913043
2776.0,2004,47,MIA,Pape Sow,Cal State Fullerton,3.0,76.0,879.0,219.0,214.0,12.0,0.416,,0.678,11.6,2.9,2.8,0.2,0.8,0.044,-5.7,-0.8,0.03710526315789474,-9.052631578947368,110.46578947368421,101.37763157894737
,2004,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,,,,,,,
,2004,49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,,,,,,,
2779.0,2004,50,DAL,Vassilis Spanoulis,,1.0,31.0,272.0,85.0,22.0,28.0,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01,-5.9,-0.3,0.03,-6.3,96.6,90.3
,2004,51,NJN,Christian Drejer,Florida,,,,,,,,,,,,,,,,,,,,,
,2004,52,SAS,Romain Sato,Xavier,,,,,,,,,,,,,,,,,,,,,
2782.0,2004,53,MIA,Matt Freije,Vanderbilt,2.0,42.0,588.0,133.0,85.0,27.0,0.293,0.224,0.714,14.0,3.2,2.0,0.6,-0.6,-0.047,-6.0,-0.6,0.032595238095238094,-3.857142857142857,96.68333333333332,92.82619047619048
,2004,54,DET,Rickey Paulding,Missouri,,,,,,,,,,,,,,,,,,,,,
2784.0,2004,55,HOU,Luis Flores,Manhattan College,1.0,16.0,77.0,35.0,3.0,11.0,0.483,0.5,1.0,4.8,2.2,0.2,0.7,,-0.02,-4.8,,0.067,15.3,88.1,103.3
,2004,56,LAL,Marcus Douthit,Providence,,,,,,,,,,,,,,,,,,,,,
,2004,57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,,,,,,,
,2004,58,MIN,Blake Stepp,Gonzaga,,,,,,,,,,,,,,,,,,,,,
,2004,59,IND,Rashad Wright,Georgia,,,,,,,,,,,,,,,,,,,,,
101106.0,2005,1,MIL,Andrew Bogut,Utah,14.0,706.0,19862.0,6808.0,6112.0,1546.0,0.535,0.12,0.557,28.1,9.6,8.7,2.2,50.6,0.122,1.2,16.0,0.1148342776203966,3.964305949008499,101.47450424929178,105.45708215297452
101107.0,2005,2,ATL,Marvin Williams,UNC,15.0,1072.0,30159.0,10965.0,5546.0,1373.0,0.443,0.361,0.808,28.1,10.2,5.2,1.3,65.1,0.104,-0.4,12.3,0.09009421641791043,-0.7925373134328356,106.11044776119402,105.31035447761194
101114.0,2005,3,UTA,Deron Williams,Illinois,12.0,845.0,28865.0,13804.0,2619.0,6819.0,0.445,0.357,0.822,34.2,16.3,3.1,8.1,77.3,0.129,1.9,28.3,0.12419289940828403,1.826153846153846,106.34650887573964,108.15656804733726
101108.0,2005,4,NOH,Chris Paul,Wake Forest,18.0,1214.0,41785.0,21755.0,5457.0,11501.0,0.472,0.369,0.87,34.4,17.9,4.5,9.5,205.1,0.236,7.1,96.1,0.16832784184514002,7.194481054365734,105.0661449752883,112.28311367380562
101109.0,2005,5,CHA,Raymond Felton,UNC,14.0,971.0,28829.0,10853.0,2867.0,5096.0,0.412,0.329,0.79,29.7,11.2,3.0,5.2,40.2,0.067,-0.6,10.1,0.09694541709577753,-0.25118434603501544,105.02914521112255,104.80998970133882
101110.0,2005,6,POR,Martell Webster,,10.0,580.0,13914.0,5056.0,1811.0,588.0,0.418,0.382,0.791,24.0,8.7,3.1,1.0,24.7,0.085,-0.8,4.3,0.07379310344827586,-4.331206896551725,106.36672413793104,102.01155172413793
101111.0,2005,7,TOR,Charlie Villanueva,UConn,11.0,656.0,13578.0,6808.0,3019.0,549.0,0.435,0.341,0.772,20.7,10.4,4.6,0.8,22.6,0.08,-0.6,4.7,0.09948170731707316,-5.37484756097561,109.27088414634146,103.88445121951221
101112.0,2005,8,NYK,Channing Frye,Arizona,13.0,890.0,19772.0,7786.0,4002.0,864.0,0.44,0.388,0.822,22.2,8.7,4.5,1.0,38.9,0.094,-0.4,8.0,0.08506853932584271,0.4764044943820225,106.48426966292135,106.94426966292134
101113.0,2005,9,GSW,Ike Diogu,Arizona State,6.0,225.0,2795.0,1348.0,689.0,69.0,0.509,0.5,0.786,12.4,6.0,3.1,0.3,6.5,0.112,-3.0,-0.7,0.10043555555555556,-5.809777777777778,104.63733333333334,98.81422222222221
101115.0,2005,10,LAL,Andrew Bynum,,8.0,418.0,10690.0,4822.0,3221.0,490.0,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168,1.4,9.1,0.11767464114832536,2.4550239234449758,102.47966507177034,104.91913875598085
,2005,11,ORL,Fran Vázquez,,,,,,,,,,,,,,,,,,,,,,
101117.0,2005,12,LAC,Yaroslav Korolev,,2.0,34.0,168.0,39.0,16.0,13.0,0.283,0.25,0.625,4.9,1.1,0.5,0.4,-0.1,-0.024,-5.2,-0.1,0.029705882352941183,-8.558823529411764,95.24117647058823,86.7529411764706
101118.0,2005,13,CHA,Sean May,UNC,4.0,119.0,1868.0,821.0,481.0,115.0,0.458,0.231,0.746,15.7,6.9,4.0,1.0,2.6,0.068,-1.7,0.2,0.09291596638655461,-3.094117647058824,103.73697478991596,100.61344537815125
101119.0,2005,14,MIN,Rashad McCants,UNC,4.0,249.0,5037.0,2479.0,506.0,331.0,0.431,0.368,0.741,20.2,10.0,2.0,1.3,3.6,0.035,-1.7,0.4,0.07159036144578314,-4.334939759036145,105.06184738955824,100.75020080321285
101120.0,2005,15,NJN,Antoine Wright,Texas A&M,6.0,297.0,5714.0,1614.0,681.0,295.0,0.412,0.304,0.674,19.2,5.4,2.3,1.0,3.1,0.026,-3.7,-2.4,0.03955555555555556,-3.761952861952862,104.91750841750842,101.16127946127946
101121.0,2005,16,TOR,Joey Graham,Oklahoma State,6.0,377.0,6117.0,2239.0,1058.0,207.0,0.483,0.3,0.815,16.2,5.9,2.8,0.5,7.8,0.061,-3.6,-2.4,0.067684350132626,-2.625729442970822,105.31087533156497,102.65411140583556
101122.0,2005,17,IND,Danny Granger,New Mexico,10.0,586.0,18487.0,9855.0,2888.0,1097.0,0.434,0.38,0.848,31.5,16.8,4.9,1.9,48.5,0.126,1.8,17.7,0.10621501706484643,-0.14914675767918095,103.65972696245734,103.50290102389079
101123.0,2005,18,BOS,Gerald Green,,12.0,658.0,13026.0,6412.0,1639.0,596.0,0.417,0.361,0.818,19.8,9.7,2.5,0.9,18.4,0.068,-1.3,2.4,0.07831762917933131,-0.7019756838905776,104.02902735562311,103.3290273556231
101124.0,2005,19,MEM,Hakim Warrick,Syracuse,8.0,526.0,10624.0,4947.0,2117.0,400.0,0.49,0.191,0.726,20.2,9.4,4.0,0.8,20.4,0.092,-1.9,0.4,0.09629087452471483,-7.646577946768061,107.65342205323194,99.99961977186312
101125.0,2005,20,DEN,Julius Hodge,NC State,2.0,23.0,98.0,28.0,15.0,18.0,0.44,,0.5,4.3,1.2,0.7,0.8,,0.003,-3.7,,0.024695652173913035,1.5086956521739134,92.5304347826087,94.03913043478259
101126.0,2005,21,PHO,Nate Robinson,Washington,11.0,618.0,13878.0,6807.0,1446.0,1826.0,0.423,0.36,0.796,22.5,11.0,2.3,3.0,27.8,0.096,0.5,8.6,0.09594498381877022,-1.3723300970873786,104.58640776699029,103.19045307443366
101127.0,2005,22,DEN,Jarrett Jack,Georgia Tech,13.0,867.0,24140.0,9349.0,2487.0,3952.0,0.44,0.343,0.855,27.8,10.8,2.9,4.6,36.8,0.073,-0.9,6.5,0.10346712802768165,-4.6397923875432525,107.21176470588236,102.57773933102652
101128.0,2005,23,SAC,Francisco García,Louisville,10.0,549.0,11853.0,4323.0,1400.0,747.0,0.427,0.357,0.799,21.6,7.9,2.6,1.4,18.2,0.074,-0.1,5.7,0.07275956284153004,-3.102914389799636,105.16502732240438,102.05482695810564
101129.0,2005,24,HOU,Luther Head,Illinois,6.0,348.0,7797.0,2842.0,845.0,747.0,0.423,0.388,0.773,22.4,8.2,2.4,2.1,14.7,0.09,0.1,4.2,0.0916235632183908,-0.7353448275862068,102.00747126436781,101.24913793103447
101130.0,2005,25,SEA,Johan Petro,,8.0,473.0,7262.0,2202.0,1836.0,227.0,0.462,0.154,0.678,15.4,4.7,3.9,0.5,5.5,0.037,-4.6,-4.6,0.0627124735729387,-7.89936575052854,105.95517970401691,98.03128964059198
101131.0,2005,26,DET,Jason Maxiell,Cincinnati,10.0,618.0,11379.0,3481.0,2576.0,266.0,0.495,,0.564,18.4,5.6,4.2,0.4,20.3,0.086,-2.5,-1.4,0.07013430420711975,-4.094174757281553,105.65631067961165,101.55954692556635
101132.0,2005,27,POR,Linas Kleiza,Missouri,7.0,409.0,8185.0,3561.0,1470.0,321.0,0.435,0.335,0.763,20.0,8.7,3.6,0.8,13.6,0.08,-2.3,-0.7,0.07899022004889976,0.48484107579462093,103.52151589242054,104.01295843520784
101133.0,2005,28,SAS,Ian Mahinmi,,12.0,618.0,10353.0,3209.0,2705.0,357.0,0.533,0.16,0.612,16.8,5.2,4.4,0.6,26.1,0.121,-2.0,0.1,0.07542556634304207,0.41569579288025876,101.08009708737865,101.50825242718447
101134.0,2005,29,MIA,Wayne Simien,Kansas,2.0,51.0,507.0,169.0,99.0,11.0,0.469,,0.854,9.9,3.3,1.9,0.2,0.9,0.083,-4.4,-0.3,0.05841176470588236,-6.141176470588235,97.31176470588237,91.17058823529412
101135.0,2005,30,NYK,David Lee,Florida,12.0,829.0,24293.0,11232.0,7320.0,1825.0,0.535,0.034,0.772,29.3,13.5,8.8,2.2,76.0,0.15,1.1,19.2,0.13276718938480095,0.3041013268998796,105.95645355850421,106.2605548854041
101136.0,2005,31,ATL,Salim Stoudamire,Arizona,3.0,157.0,2672.0,1260.0,214.0,164.0,0.407,0.366,0.882,17.0,8.0,1.4,1.0,2.2,0.04,-2.9,-0.6,0.07398726114649681,-5.315923566878981,106.6668789808917,101.35095541401276
101137.0,2005,32,LAC,Daniel Ewing,Duke,2.0,127.0,1683.0,431.0,158.0,174.0,0.389,0.295,0.78,13.3,3.4,1.2,1.4,0.8,0.024,-3.0,-0.4,0.061968503937007875,0.8181102362204725,97.93858267716534,98.75669291338583
101138.0,2005,33,NOH,Brandon Bass,LSU,12.0,758.0,16410.0,6575.0,3448.0,608.0,0.499,0.207,0.832,21.6,8.7,4.5,0.8,42.8,0.125,-0.8,5.1,0.10148944591029024,-1.7784960422163587,104.43073878627969,102.65725593667548
101139.0,2005,34,UTA,C.J. Miles,,16.0,849.0,17284.0,8108.0,2011.0,914.0,0.411,0.358,0.809,20.4,9.6,2.4,1.1,30.1,0.084,-0.4,6.9,0.07541107184923442,1.7137809187279152,104.0964664310954,105.82096584216725
,2005,35,POR,Ricky Sánchez,,,,,,,,,,,,,,,,,,,,,,
101141.0,2005,36,MIL,Ersan İlyasova,,13.0,825.0,18957.0,8364.0,4661.0,908.0,0.443,0.367,0.777,23.0,10.1,5.6,1.1,48.8,0.124,-0.1,9.0,0.09920000000000001,0.42800000000000005,104.42218181818183,104.85018181818181
101142.0,2005,37,LAL,Ronny Turiaf,Gonzaga,10.0,473.0,8020.0,2209.0,1757.0,618.0,0.533,,0.636,17.0,4.7,3.7,1.3,19.2,0.115,0.3,4.7,0.0794228329809725,0.7961945031712472,103.99323467230444,104.78942917547568
101143.0,2005,38,ORL,Travis Diener,Marquette,5.0,179.0,2660.0,854.0,243.0,432.0,0.388,0.353,0.847,14.9,4.8,1.4,2.4,5.6,0.102,-0.4,1.1,0.08655865921787709,-3.796648044692738,107.17039106145252,103.38659217877095
101144.0,2005,39,LAL,Von Wafer,Florida State,6.0,200.0,2475.0,1054.0,234.0,146.0,0.42,0.325,0.751,12.4,5.3,1.2,0.7,3.3,0.064,-1.8,0.1,0.06045999999999999,-0.9945000000000002,98.38799999999999,97.41099999999999
101145.0,2005,40,GSW,Monta Ellis,,12.0,833.0,29011.0,14858.0,2874.0,3856.0,0.451,0.314,0.772,34.8,17.8,3.5,4.6,41.9,0.069,-0.3,12.4,0.10049699879951983,-0.32557022809123654,106.48367346938775,106.16818727490997
101146.0,2005,41,TOR,Roko Ukić,,2.0,85.0,987.0,341.0,78.0,165.0,0.387,0.189,0.746,11.6,4.0,0.9,1.9,-0.2,-0.007,-4.3,-0.6,0.06907058823529412,-2.521176470588235,102.66588235294118,100.06
101147.0,2005,42,GSW,Chris Taft,Pitt,1.0,17.0,144.0,47.0,36.0,2.0,0.605,,0.167,8.5,2.8,2.1,0.1,0.5,0.155,-0.7,,0.074,4.9,97.6,102.5
101148.0,2005,43,NJN,Mile Ilić,,1.0,5.0,6.0,,1.0,,,,,1.2,,0.2,,-0.2,-1.264,-52.0,-0.1,-0.293,-130.8,130.8,0.0
101149.0,2005,44,ORL,Martynas Andriuškevičius,,1.0,6.0,9.0,,4.0,,,,,1.5,,0.7,,,0.155,5.2,,0.152,54.5,50.0,104.5
101150.0,2005,45,PHI,Lou Williams,,17.0,1123.0,27104.0,15593.0,2484.0,3789.0,0.419,0.351,0.842,24.1,13.9,2.2,3.4,65.7,0.116,1.4,23.2,0.11431344612644702,0.636153161175423,106.17524487978629,106.82796081923419
,2005,46,IND,Erazem Lorbek,,,,,,,,,,,,,,,,,,,,,,
101152.0,2005,47,MIN,Bracey Wright,Indiana,2.0,26.0,325.0,129.0,39.0,20.0,0.405,0.324,0.794,12.5,5.0,1.5,0.8,0.5,0.068,-1.6,,0.09423076923076922,8.769230769230768,95.84230769230768,104.61153846153846
101153.0,2005,48,SEA,Mickaël Gelabale,,3.0,145.0,2348.0,670.0,330.0,115.0,0.47,0.316,0.815,16.2,4.6,2.3,0.8,3.0,0.062,-2.1,,0.06849655172413793,-2.915862068965517,104.1696551724138,101.20206896551724
101154.0,2005,49,WAS,Andray Blatche,,9.0,564.0,12462.0,5706.0,3024.0,798.0,0.467,0.237,0.725,22.1,10.1,5.4,1.4,19.2,0.074,-0.8,3.8,0.10360992907801417,-4.44627659574468,106.58439716312056,102.13812056737589
101155.0,2005,50,BOS,Ryan Gomes,Providence,8.0,487.0,13463.0,4926.0,2239.0,712.0,0.445,0.349,0.799,27.6,10.1,4.6,1.5,19.4,0.069,-1.6,1.4,0.08147022587268994,-5.440657084188912,108.12258726899384,102.66796714579056
