,Season,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,PIE,NET_RATING,DEF_RATING,OFF_RATING
1748.0,1998,40,DET,Korleone Young,,1.0,3.0,15.0,13.0,4.0,1.0,0.5,0.25,1.0,5.0,4.3,1.3,0.3,0.1,0.28,9.4,,0.20299999999999999,29.0,64.5,93.5
1749.0,1998,41,HOU,Cuttino Mobley,Rhode Island,11.0,747.0,27618.0,11964.0,2902.0,2015.0,0.433,0.378,0.835,37.0,16.0,3.9,2.7,52.2,0.091,-0.1,12.9,0.09371753681392236,-0.17858099062918353,103.40883534136546,103.26144578313253
1750.0,1998,42,ORL,Miles Simon,Arizona,1.0,5.0,19.0,2.0,2.0,,0.2,,,3.8,0.4,0.4,,-0.1,-0.289,-17.4,-0.1,-0.059,-33.3,100.0,66.7
1751.0,1998,43,WAS,Jahidi White,Georgetown,7.0,334.0,5913.0,1954.0,1944.0,63.0,0.51,,0.534,17.7,5.9,5.8,0.2,10.4,0.085,-3.2,-1.8,0.07361077844311377,-4.322754491017964,104.1119760479042,99.78922155688625
1752.0,1998,44,NYK,Sean Marks,California,11.0,230.0,2275.0,638.0,501.0,50.0,0.448,0.2,0.665,9.9,2.8,2.2,0.2,2.6,0.055,-5.0,-1.7,0.05197826086956521,-10.285652173913043,103.51739130434783,93.27956521739128
1753.0,1998,45,LAL,Toby Bailey,UCLA,2.0,73.0,698.0,241.0,126.0,43.0,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1.0,0.072,-3.5,-0.3,0.06263013698630138,-0.3616438356164384,97.57397260273972,97.14931506849315
1754.0,1998,46,MIN,Andrae Patterson,Indiana,2.0,40.0,304.0,120.0,67.0,16.0,0.455,,0.778,7.6,3.0,1.7,0.4,0.7,0.114,-1.9,,0.06999999999999999,-1.225,95.1875,94.0375
1755.0,1998,47,TOR,Tyson Wheeler,Rhode Island,1.0,1.0,3.0,4.0,,2.0,1.0,1.0,0.5,3.0,4.0,,2.0,0.1,1.367,51.1,,0.229,85.7,114.3,200.0
1756.0,1998,48,CLE,Ryan Stack,South Carolina,2.0,43.0,397.0,99.0,79.0,10.0,0.352,,0.787,9.2,2.3,1.8,0.2,0.2,0.028,-6.7,-0.5,0.01116279069767442,-11.862790697674418,101.55348837209303,89.6906976744186
1757.0,1998,49,ATL,Cory Carr,Texas Tech,1.0,42.0,624.0,171.0,49.0,66.0,0.329,0.167,0.75,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1.0,0.025,-12.400000000000002,99.0,86.6
,1998,50,CHH,Andrew Betts,Cal State Long Beach,,,,,,,,,,,,,,,,,,,,,
,1998,51,MIA,Corey Brewer,Oklahoma,,,,,,,,,,,,,,,,,,,,,
1760.0,1998,52,SAS,Derrick Dial,Eastern Michigan,4.0,82.0,687.0,253.0,133.0,63.0,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045,-2.2,,0.09069512195121951,6.097560975609756,93.84024390243901,99.92804878048781
1761.0,1998,53,DAL,Greg Buckner,Clemson,10.0,570.0,10895.0,2878.0,1593.0,719.0,0.45,0.334,0.757,19.1,5.0,2.8,1.3,20.9,0.092,-0.9,3.0,0.06242105263157895,0.4029824561403509,102.10438596491228,102.51122807017543
1762.0,1998,54,DEN,Tremaine Fowlkes,Fresno State,4.0,103.0,1233.0,301.0,228.0,54.0,0.409,0.2,0.791,12.0,2.9,2.2,0.5,2.1,0.08,-2.0,,0.05780582524271844,-1.1446601941747576,95.152427184466,94.00776699029126
1763.0,1998,55,DEN,Ryan Bowen,Iowa,10.0,507.0,6502.0,1319.0,1060.0,250.0,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092,-0.8,2.0,0.055059171597633134,-0.3972386587771202,97.33214990138067,96.94674556213018
1764.0,1998,56,VAN,J.R. Henderson,UCLA,1.0,31.0,331.0,97.0,47.0,22.0,0.365,0.4,0.556,11.0,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2,0.047,-8.0,100.8,92.8
1765.0,1998,57,UTA,Torraye Braggs,Xavier,2.0,22.0,178.0,46.0,51.0,7.0,0.475,,0.667,8.1,2.1,2.3,0.3,0.3,0.071,-4.9,-0.1,0.06372727272727273,-1.6227272727272735,94.75,93.12727272727274
1766.0,1998,58,CHI,Maceo Baston,Michigan,4.0,105.0,831.0,286.0,175.0,26.0,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134,-1.2,0.2,0.08854285714285715,-4.389523809523809,100.95238095238095,96.59333333333332
1882.0,1999,1,CHI,Elton Brand,Duke,17.0,1058.0,34910.0,16827.0,9040.0,2184.0,0.5,0.095,0.736,33.0,15.9,8.5,2.1,109.6,0.151,2.2,37.3,0.12752079395085064,-1.5082230623818527,103.82013232514177,102.31824196597353
1883.0,1999,2,VAN,Steve Francis,Maryland,9.0,576.0,21632.0,10446.0,3215.0,3473.0,0.429,0.341,0.797,37.6,18.1,5.6,6.0,54.1,0.12,2.2,22.7,0.12127083333333334,-0.16701388888888896,103.36371527777777,103.19739583333333
1884.0,1999,3,CHH,Baron Davis,UCLA,13.0,835.0,28592.0,13447.0,3183.0,6025.0,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,2.6,33.1,0.11607425149700598,1.4239520958083833,103.42095808383233,104.84215568862275
1885.0,1999,4,LAC,Lamar Odom,Rhode Island,14.0,961.0,32131.0,12781.0,8059.0,3554.0,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77.0,0.115,1.9,31.4,0.1207544224765869,2.800832466181062,102.25078043704474,105.06170655567118
1886.0,1999,5,TOR,Jonathan Bender,,8.0,262.0,3847.0,1453.0,582.0,170.0,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,-2.6,-0.6,0.06340839694656489,-4.7293893129771,99.74656488549618,95.02671755725193
1887.0,1999,6,MIN,Wally Szczerbiak,Miami University,10.0,651.0,20052.0,9195.0,2602.0,1532.0,0.485,0.406,0.86,30.8,14.1,4.0,2.4,53.3,0.127,0.7,13.6,0.10554685099846389,2.878801843317972,102.70138248847925,105.57480798771121
